Tweet text;Label
@HMRCcustomers No, este es mi primer trabajo;no queja
@KristaMariePark ¡Gracias por tu interés! Si decides cancelar, puedes llamar a Atención al Cliente al 1-800-NYTIMES.;no queja
Si no puedo hacer que mi tercer par de @beatsbydre powerbeats funcione hoy, estoy acabado. Esto es un golpe en mis partes. Tu próximo @Bose @BoseService;queja
@EE En Rosneath Arial tengo buenas velocidades de subida y bajada, pero una latencia terrible de 200ms. ¿Por qué?;queja
Fondo de pantalla de parejas, muy lindo. :) #BrothersAtHome;no queja
@mckelldogs Esto podría ser solo yo, pero... ¿gotas para los ojos? Las lágrimas artificiales son muy útiles cuando tienes falta de sueño y sp;no queja
@Yelp ¿Podemos obtener los cálculos exactos para la calificación de un negocio (por ejemplo, si tiene 4 estrellas pero en realidad es 4.2) o usamos un sitio de terceros?;no queja
@nationalgridus No tengo agua y la factura está al día y pagada. ¿Pueden hacer algo al respecto?;queja
Nunca volveré a comprar en @MACcosmetics. Cada vez que voy allí, sus empleados son súper groseros/condescendientes. Llevaré mi dinero a @Sephora;queja
@JenniferTilly Feliz Navidad también para ti. Te ves más impresionante cada año;no queja
@NortonSupport Muchas gracias.;no queja
@VerizonSupport De repente no puedo conectarme a mi red inalámbrica principal, pero la de invitados funciona;no queja
¡Aaaahhhhh!!!! ¡Mis audífonos @Razer @PlayOverwatch d.va meka llegaron!!! ¡Ni siquiera sabía que se habían enviado! ¡Estoy tan emocionado!;no queja
@Lin_Manuel @jmessinaphoto @VAMNit ¡Oh por Dios, un pequeño aplastamiento! ¡Disfruta y felicidades! ¡Extraño que el mío sea tan joven!;no queja
@IanJamesPoulter ¿Cuál es tu secreto para escalfar huevos? Los míos NUNCA se ven tan bien.;no queja
@AWSSupport ¿Cuándo será compatible Kinesis Firehose con Elasticsearch 6.0? ¡Gracias!;no queja
@NCIS_CBS;no queja
@msetchell ¿A través de la configuración? Así es como lo hago en el maestro T’s;no queja
Hoy en el trabajo había un pato volando bajo hacia una multitud de personas, y grité "¡cuidado!" y estoy muy decepcionado conmigo mismo;no queja
@NortonSupport @NortonOnline ¿Qué diablos es un dm 5-10 días para recuperar el dinero? Mi cuenta bancaria ahora está sobregirada, gracias chicos;queja
@united No estoy contento con este retraso de Newark a Manchester esta noche :( Solo 30 minutos de Wi-Fi gratis apesta;queja
@ZARA_Care He estado esperando una respuesta a mis tweets y DMs durante días;queja
Nueva lista! Gran casa de 2 familias en venta en #Passaic Park, #NJ #realestate #homesforsale ¡Gran ubicación!;no queja
@SouthwestAir Te amo, pero cuando me envíes cambios de vuelo, por favor no uses la hora militar #laignoranciaesfelicidad;queja
@JetBlue Lo entiendo completamente, pero preferiría llegar a tiempo a llenar formularios...;queja
@nvidiacc Tengo dos gtx 460 en sli. Quiero probar la vista previa de desarrollo de Windows 8. ¿Qué controlador debo usar? ¿Puedo usar el de Windows 7?;no queja
Acabo de publicar una foto;no queja
¿Te encantan los rollos de media luna? ¡Prueba a agregarles pesto @PerdueChicken y te encantarán! #Promoción #PerdueCrew;no queja
@TopmanAskUs Por favor, solo devuélveme mi dinero.;queja
¡Acabo de darle 5 estrellas a Tracee en @neimanmarcus por el excelente servicio que recibí!;no queja
@FitbitSupport ¿Cuándo lanzarán nuevas carátulas de reloj para el mercado indio?;no queja
@HPSupport Mi impresora no me permite elegir color, en su lugar solo imprime en monocromo #hppsdr #ijkhelp;queja
@DIRECTV ¿Puedo obtener un reembolso doble mensual cuando llueve afuera y perdemos la recepción? #EstoyAvergonzadoPorUstedes;queja
@AlfaRomeoCares Hola, gracias por responder, podría ser mi internet, pero el enlace no parece funcionar;queja
Se ve sabroso! ¡Voy a compartirlo con todos los que conozco #FebrezeONE #patrocinado;no queja
@OnePlus_IN ¿Puede el OnePlus 5T hacer retratos con la cámara frontal?;no queja
@sho_help @showtime Tu llegada es terrible, la transmisión se detiene y comienza cada pocos minutos. Arréglalo, es Navidad;queja
@KandraKPTV Acabo de presenciar un gran incendio en un edificio en Santa Monica, California;no queja
@fernrocks Definitivamente lo último para mí;no queja
@greateranglia ¿Podría preguntar por qué el área frente a la estación BIC no estaba esparcida con sal con toda la nieve?;queja
Estoy ganando puntos con #CricketRewards;no queja
@Schrapnel @comcast RIP me;no queja
¡La espera finalmente terminó, acabo de unirme a @SquareUK, espero comenzar muy pronto!;no queja
@WholeFoods ¿Cuál es la mejor manera de dar retroalimentación sobre una tienda en particular a la oficina regional/nacional?;no queja
@DanielNewman Honestamente, creería cualquier cosa. La gente es... demasiado a veces.;no queja
@asblough ¡Sí! Te debería enviar una notificación con el nombre de tu conductor y a qué hora llegará!;no queja
@Wavy2Timez En serio;no queja
@KenyaPower_Care No hay electricidad en el área sur b... ¿está programado?;queja
Honda no hará nada acerca de la fuga de agua en un coche nuevo. ¡Frustrado! @HondaCustSvc @AmericanHonda;queja
@CBSNews @Dodge @ChryslerCares Mi bolsa de aire del lado del conductor ha sido retirada y reemplazada, pero ¿qué pasa con la del pasajero?;queja
@BankofAmerica Mi tarjeta de crédito fue bloqueada y no puedo hacer ninguna transacción. ¡Ayuda!;queja
@AppleSupport La batería de mi iPhone se está agotando demasiado rápido, ¿alguna solución?;queja
@SamsungUS El televisor que compré tiene un pixel muerto, ¿qué puedo hacer?;queja
@NikeSupport Los zapatos que pedí son del tamaño incorrecto, necesito cambiarlos.;queja
@AmazonHelp Recibí un artículo dañado, ¿cómo puedo devolverlo?;queja
@FedExHelp Mi paquete está retrasado y lo necesito con urgencia!;queja
@MicrosoftHelps Mi Surface Pro no enciende, ¿qué puedo hacer?;queja
@Google No puedo acceder a mi cuenta de Gmail, necesito ayuda!;queja
@Facebook Mi cuenta fue hackeada, ayúdenme a recuperarla.;queja
@Instagram Mis fotos no se están subiendo, ¿qué debo hacer?;queja
@TwitterSupport Mi cuenta fue suspendida sin razón, necesito ayuda.;queja
@Uber_Support El conductor me cobró de más, necesito un reembolso.;queja
@Lyft Mi viaje nunca llegó, esto es inaceptable.;queja
@Airbnb El lugar que reservé no es como se describe, necesito asistencia.;queja
@NetflixHelp La calidad del video es pobre incluso con una buena conexión.;queja
@PizzaHutMX Mi pizza llegó fría;queja
@FordMX Mi coche nuevo tiene un problema con el motor;queja
@AdidasMX Los tenis que compré están defectuosos;queja
@NikeSoporte No he recibido mi pedido y ya pasaron dos semanas;queja
@SamsungEspana La batería de mi Galaxy se descarga muy rápido;queja
@MovistarMX No tengo señal en mi celular;queja
@Telcel Tengo problemas con mi plan de datos;queja
@HSBC_MX Mi tarjeta fue clonada y necesito ayuda urgente;queja
@BBVAContigo La app móvil no funciona;queja
@SantanderMX No puedo acceder a mi banca en línea;queja
@LBBVAMX El cajero automático no me dio el dinero;queja
@Banorte_Mx Mi transferencia no ha llegado;queja
@ScotiabankMX No puedo contactar al servicio al cliente;queja
@Citibanamex No puedo activar mi nueva tarjeta;queja
@ATTMx La señal de mi teléfono es muy mala;queja
@ClaroColombia El internet no funciona en mi casa;queja
@TigoElSalvador Mi señal de datos es muy lenta;queja
@MovistarAR No tengo cobertura en mi área;queja
@VirginMobileMX Mi recarga no se ha aplicado;queja
@AxtelMX Mi línea está caida;queja
@GNP_Seguros No puedo reclamar mi seguro;queja
@MetLifeMX Mi póliza de seguros no se actualiza;queja
@SegurosBanorte Mi reclamo está sin respuesta;queja
@QualitasMX El servicio de atención al cliente es muy lento;queja
@ZurichMX Necesito ayuda con un reclamo de seguro;queja
@AllianzMX Mi siniestro aún no ha sido atendido;queja
@MapfreMX La cotización que recibí es incorrecta;queja
@BupaMX Mi cobertura médica no se activa;queja
@ZurichSeguros No puedo contactar a mi agente;queja
@ChubbMX Mi reclamo de salud ha sido denegado;queja
@MetLife No puedo acceder a mi cuenta en línea;queja
@SegurosInbursa Mi siniestro aún no se resuelve;queja
@GNP No he recibido respuesta sobre mi póliza;queja
@GeneralMotorsMX Mi vehículo tiene problemas con el sistema de frenos;queja
@HondaMX El aire acondicionado de mi coche no funciona;queja
@ToyotaMX Mi automóvil tiene un problema con la transmisión;queja
@ChevroletMX La batería de mi coche nuevo se está descargando;queja
@NissanMX El sistema de navegación de mi vehículo no funciona;queja
@BMWMX Mi coche tiene un problema con el motor;queja
@AudiMX El sistema de audio de mi coche no funciona;queja
@VolkswagenMX El sistema de frenos de mi coche hace ruido;queja
@MazdaMX La dirección asistida de mi coche no responde;queja
@JeepMX Mi vehículo presenta fallos en la suspensión;queja
@FiatMX El sistema de arranque de mi coche es defectuoso;queja
@SubaruMX La luz de advertencia del motor de mi coche está encendida;queja
@LandRoverMX Mi coche presenta problemas con la transmisión automática;queja
@KiaMX Mi automóvil tiene problemas con el encendido;queja
@PorscheMX El sistema de control de tracción de mi coche no funciona;queja
@JaguarMX Mi vehículo tiene problemas con el sistema de frenos antibloqueo;queja
@LexusMX La dirección de mi coche está desalineada;queja
@HyundaiMX El sistema de climatización de mi coche no funciona;queja
@ChryslerMX La luz de advertencia de frenos de mi coche está encendida;queja
@LandRoverMX Mi coche tiene problemas con el sistema de suspensión;queja
@RollsRoyceMX Mi vehículo tiene problemas con el sistema de escape;queja
@MaseratiMX El sistema de frenos de mi coche hace ruidos extraños;queja
@FerrariMX Mi coche presenta problemas con el sistema de transmisión;queja
@AstonMartinMX El sistema de navegación de mi vehículo no funciona;queja
@AlfaRomeoMX Mi coche tiene un problema con el motor;queja
@BentleyMX La calidad del interior de mi coche es deficiente;queja
@PaganiMX Mi vehículo presenta problemas con la caja de cambios;queja
@McLarenMX El sistema de frenos de mi coche no responde;queja
@KoenigseggMX Mi coche tiene problemas con el sistema de dirección;queja
@GinettaMX La suspensión de mi vehículo está defectuosa;queja
@HennesseyMX El sistema de encendido de mi coche tiene fallos;queja
@LucidMX Mi coche presenta problemas con el sistema eléctrico;queja
@RivianMX El sistema de climatización de mi vehículo no funciona;queja
@PolestarMX Mi coche tiene un problema con el sistema de frenos;queja
@TeslaMX La batería de mi coche eléctrico no dura lo esperado;queja
@NIO_MX Mi vehículo tiene problemas con la carga de la batería;queja
@BYD_MX El sistema de navegación de mi coche no está funcionando;queja
@XPeng_MX La calidad de los materiales de mi coche es deficiente;queja
@FaradayFutureMX Mi vehículo presenta problemas con la dirección asistida;queja
@GMC_MX La pantalla de mi coche está fallando;queja
@Buick_MX Mi vehículo presenta problemas con el sistema de frenos;queja
@Chevrolet_MX La batería de mi coche se descarga muy rápido;queja
@Cadillac_MX El sistema de audio de mi vehículo no funciona correctamente;queja
@Buick_MX Mi coche tiene un problema con el sistema de climatización;queja
@Rivian_MX Mi vehículo tiene problemas con el sistema de frenos;queja
@Ford_MX La transmisión de mi coche tiene problemas;queja
@GM_MX El sistema de navegación de mi coche no responde;queja
@Honda_MX La suspensión de mi vehículo está defectuosa;queja
@Hyundai_MX Mi coche tiene problemas con la batería;queja
@Kia_MX La dirección asistida de mi coche no funciona;queja
@Nissan_MX El sistema de arranque de mi coche es defectuoso;queja
@Mazda_MX La transmisión de mi vehículo no responde;queja
@Subaru_MX Mi coche tiene problemas con el sistema de frenos;queja
@Toyota_MX La climatización de mi vehículo no funciona;queja
@Volvo_MX El sistema de audio de mi coche es defectuoso;queja
